COD;REG;MUN;POPT2010;POPT2011;POPT2012;POPT2013;POPT2014;POPT2015;POPT2016;POPT2017;POPT2018;POPT2019;POPT2020;POPT2021;POPU2010;POPU2011;POPU2012;POPU2013;POPU2014;POPU2015;POPU2016;POPU2017;POPU2018;POPU2019;POPU2020;POPU2021;POPTESG2010;POPTESG2011;POPTESG2012;POPTESG2013;POPTESG2014;POPTESG2015;POPTESG2016;POPTESG2017;POPTESG2018;POPTESG2019;POPTESG2020;POPTESG2021;POPUESG2010;POPUESG2011;POPUESG2012;POPUESG2013;POPUESG2014;POPUESG2015;POPUESG2016;POPUESG2017;POPUESG2018;POPUESG2019;POPUESG2020;POPUESG2021
420445;Oeste Catarinense ;Coronel Martins;2458;2464;2469;2520;2527;2534;2541;2548;2544;2549;2555;2560;685;687;688;702;704;706;708;710;709;710;712;713;250;0;70;0;0;200;0;120;0;0;0;0;250;0;70;0;0;200;0;120;0;0;0;0
420455;Serrana;Correia Pinto;14785;14613;14447;14301;14063;13826;13591;13358;13040;12795;12553;12315;12022;11882;11747;11628;11435;11242;11051;10862;10603;10404;10207;10014;0;0;0;0;0;0;0;13358;13040;0;12100;0;0;0;0;0;0;0;0;10862;10603;0;10000;0
420450;Norte Catarinense;CorupA;13852;14006;14155;14716;14925;15132;15337;15541;15709;15909;16107;16300;10669;10788;10902;11334;11495;11655;11813;11970;12099;12253;12406;12554;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
420460;Sul Catarinense ;Criciuma;192308;193989;195614;202395;204667;206918;209153;211369;213023;215186;217311;219393;189630;191288;192890;199577;201817;204037;206240;208426;210057;212189;214285;216338;0;53503;49355;52122;54029;55577;58209;62937;63508;65727;70961;75132;0;53503;49355;52122;54029;55577;58209;62937;63508;65727;70961;75132
420470;Oeste Catarinense ;Cunha Pora;10613;10643;10671;10905;10944;10982;11020;11057;11053;11086;11118;11150;6519;6537;6555;6698;6722;6746;6769;6792;6789;6810;6829;6849;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
420475;Oeste Catarinense ;Cunhatai;1882;1887;1892;1931;1937;1943;1949;1955;1957;1962;1967;1972;569;571;572;584;586;587;589;591;592;593;595;596;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
420480;Serrana;Curitibanos;37748;37878;38003;38890;39061;39231;39399;39566;39595;39745;39893;40037;34769;34889;35004;35821;35978;36135;36290;36444;36470;36608;36745;36877;0;0;0;0;0;0;0;0;0;0;0;7613;0;0;0;0;0;0;0;0;0;0;0;7613
420490;Oeste Catarinense ;Descanso;8634;8597;8560;8612;8558;8505;8452;8399;8308;8250;8192;8136;4297;4279;4260;4286;4259;4233;4206;4180;4135;4106;4077;4049;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
420500;Oeste Catarinense ;Dionisio Cerqueira;14811;14855;14896;15227;15283;15339;15395;15450;15450;15498;15545;15592;10191;10221;10249;10477;10516;10554;10593;10631;10631;10664;10696;10728;322;322;281;278;278;5107;4692;5045;5432;5564;5746;5803;322;322;281;278;278;5107;4692;5045;5432;5564;5746;5803
420510;Vale do Itajai ;Dona Emma;3721;3753;3784;3912;3955;3997;4039;4081;4105;4146;4186;4224;1868;1884;1900;1964;1985;2007;2028;2049;2061;2081;2101;2121;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
