TimeIndex,Decibel
0,55.93132287
40,57.77925953
80,62.95695178
140,65.15810045
180,60.32524167
220,45.41172522
262,55.95880703
300,62.02180694
340,62.22256252
380,56.15668438
420,55.58381956
460,67.1467731
500,66.5497727
540,63.48579568
580,61.0350715
620,62.12820438
660,61.45571162
700,60.37599746
740,54.2114558
780,48.49788876
820,46.93548087
860,39.85136382
900,50.58873621
940,60.94854615
980,50.45393838
1020,49.60913106
1060,35.87847024
1100,29.9272976
1140,26.29833792
1181,34.10536886
1240,24.25486184
1280,23.77569668
1320,23.49578872
1360,17.38379697
1400,20.48466515
1440,16.63557909
1480,16.78988602
1520,24.05013058
1559,30.02408587
1600,23.21448856
1640,23.24123921
1680,15.05710056
1720,17.20297768
1759,20.09741526
1800,22.03375628
1840,19.91974742
1880,21.71839047
1920,17.7815529
1960,18.35308301
2000,28.15897431
2040,22.98789744
2080,20.97804823
2120,17.20689845
2160,51.3047571
2201,59.25319201
2240,57.16557068
2280,57.22879834
2320,61.27722745
2380,63.7260104
2420,59.93014538
2460,58.35931107
2500,55.84066314
2540,46.09242916
2580,44.24317283
2620,41.3688553
2660,35.9312418
2700,30.26583191
2720,55.37548887
2760,63.44805302
2800,63.51500617
2840,60.31078461
2880,58.28141614
2940,58.24691154
2980,55.5380437
3020,49.5368554
3060,41.54512074
3100,48.4369979
3140,48.22741505
3180,51.28921396
3220,56.23101315
3260,54.02331307
3300,56.42999444
3340,57.44918547
3380,54.37995342
3420,61.14019566
3460,57.98495029
3501,49.74555147
3540,57.49429234
3580,64.69759371
3621,66.13903102
3660,67.11366121
3700,64.11346463
3740,60.52222518
3781,54.97567762
3820,49.72882674
3860,45.01870001
3900,43.6249192
3941,45.70057385
3980,46.63362011
4040,42.04992935
4080,43.34965115
4120,59.64533152
4160,65.86463373
4200,65.78376482
4241,64.36490496
4280,60.44479755
4320,49.33259157
4360,54.45141538
4400,48.90652704
4440,46.13821608
4480,44.35224728
4520,59.46335391
4560,56.04695779
4600,53.96592662
4640,46.28164511
4680,51.29393903
4720,58.89470165
4760,50.77059683
4800,44.07075382
4841,52.81462319
4880,58.85614662
4920,46.7860771
4960,52.76035505
5000,58.69102132
5040,60.61161437
5080,61.71746873
5120,59.01735147
5179,59.84728444
5219,61.78731019
5259,63.04161576
5299,63.72418689
5339,65.47698216
5379,67.16985716
5419,66.74497149
